2022-08-31 10:36:42 200 GET /api/userhi HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 56 181
2022-08-31 10:36:46 200 GET /api/userok HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 54 3
2022-08-31 10:36:51 404 GET / HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 306 58
2022-08-31 10:39:53 200 GET /api/userhi HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 56 5
2022-08-31 10:43:03 200 GET /api/userhi HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 56 3
2022-08-31 10:54:17 200 GET /api/userok HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 54 9
2022-08-31 10:55:52 200 GET /api/userok HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 54 7
2022-08-31 11:24:40 404 GET / HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 306 210
2022-08-31 11:24:41 404 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 http://localhost:8080/ 0:0:0:0:0:0:0:1 144 154
2022-08-31 11:24:46 200 GET /api/userhi HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 56 27
2022-08-31 14:22:04 404 GET / HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 306 335
2022-08-31 14:22:07 200 GET /api/userhi HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 56 78
2022-08-31 14:30:51 200 GET /api/userhi HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 56 71
2022-08-31 16:30:34 404 GET / HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 306 1441
2022-08-31 16:30:41 200 GET /api/userhi HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.47 - 0:0:0:0:0:0:0:1 56 151
